userid,age,gender,domisili,pekerjaan,instansi,hobi
67267,18,female,Kabupaten Ciamis,Content writer,Universitas Telkom,Memasak
66635,36,female,Kabupaten Banyuwangi,Mahasiswa,SMA A,Fotografi
79885,47,female,Kota Bandung,Web developer,PT Freeport,Fotografi
15199,72,female,Kabupaten Cirebon,Data analyst,Universitas Negeri Surabaya (UNESA),Bermain game
57340,19,male,Kabupaten Kuningan,Programmer,PT Freeport,Bermain game
6022,35,female,Kabupaten Garut,Desain grafis,Institut Teknologi Bandung (ITB),Eksplor alam
65479,33,male,Kabupaten Lebak,Penerjemah,PT Bank Mandiri Tbk,Fotografi
31180,33,female,Kabupaten Bangkalan,Penulis,Universitas Sumatera Utara (USU),Merakit model
41410,25,male,Kota Pasuruan,Content creator,Universitas Lampung (UNILA),Menyanyi
9957,53,male,Kabupaten Purwakarta,Video editor,Universitas Negeri Malang (UM),Programming
33738,37,male,Kota Surakarta,App developer,Universitas Sumatera Utara (USU),Fotografi
69523,18,male,Kabupaten Wonosobo,Penerjemah,Institut Teknologi Sepuluh Nopember (ITS),Menulis
33127,38,male,Kabupaten Pandeglang,Data analyst,Universitas Andalas (UNAND),Makan
38108,51,male,Kabupaten Kebumen,Content creator,PT Pertamina,Bermain game
67632,15,male,Kabupaten Jember,Video editor,Universitas Airlangga (UNAIR),Makan
20532,20,male,Kabupaten Purwakarta,App developer,Institut Teknologi Sepuluh Nopember (ITS),Menonton
35652,65,female,Kota Batu,Content creator,Universitas Negeri Semarang (UNNES),Mendengarkan musik
42026,54,female,Kota Malang,Penulis,Universitas Gadjah Mada (UGM),Berkebun
38878,55,female,Kabupaten Lebak,Desain grafis,PT Bank Rakyat Indonesia Tbk,Berkebun
28336,18,male,Kota Tasikmalaya,Desain grafis,Universitas Padjadjaran (UNPAD),Olahraga
54713,103,male,Kota Blitar,Penerjemah,PT PLN,Mendengarkan musik
86644,48,male,Kota Probolinggo,App developer,PT Gudang Garam Tbk,Kolektor
69667,21,male,Kabupaten Pandeglang,Infuencer,PT Bank Central Asia Tbk,Eksplor alam
90961,60,male,Kabupaten Majalengka,Content writer,SMA A,Bermain musik
24821,69,female,Kabupaten Pati,Content creator,PT Telkom Indonesia,Kolektor
29381,25,male,Kabupaten Sampang,Video editor,PT Bank Negara Indonesia Tbk,Fotografi
92130,20,female,Kabupaten Cirebon,Web developer,Universitas Andalas (UNAND),Memelihara hewan
77047,20,male,Kota Sukabumi,Penerjemah,SMA C,Menyanyi
22661,57,female,Kabupaten Magetan,Ilustrator,Universitas Diponegoro (UNDIP),Memasak
84550,49,male,Kabupaten Tegal,Infuencer,Universitas Udayana (UNUD),Membaca
12523,41,male,Kabupaten Sampang,Content creator,Universitas Bina Nusantara (Binus),Menonton
47589,44,male,Kabupaten Tuban,Programmer,Universitas Dian Nuswantoro,Bermain musik
28136,75,male,Kabupaten Blitar,Data analyst,PT Gudang Garam Tbk,Makan
87333,23,female,Kota Pekalongan,Data analyst,Universitas Dian Nuswantoro,Fotografi
50615,24,male,Kabupaten Bangkalan,Programmer,Universitas Negeri Semarang (UNNES),Menganyam
86858,35,female,Kota Tangerang Selatan,Penulis,Universitas Airlangga (UNAIR),Menonton
30610,19,male,Kabupaten Kuningan,Blogger,Universitas Negeri Yogyakarta (UNY),Mendengarkan musik
24353,44,female,Kabupaten Lumajang,Infuencer,Universitas Brawijaya (UB),Bermain musik
20395,26,male,Kabupaten Banjarnegara,Data analyst,PT Garuda Indonesia,Bermain musik
82543,19,male,Kabupaten Karanganyar,Content writer,PT Semen Indonesia,Membaca
58781,21,female,Kota Pasuruan,Content creator,Universitas Negeri Malang (UM),Memasak
50560,23,male,Kabupaten Ponorogo,App developer,Universitas Brawijaya (UB),Merakit model
16101,58,male,Kabupaten Klaten,App developer,Universitas Gunadarma,Bermain musik
55031,57,male,Kabupaten Tegal,Penerjemah,Institut Teknologi Sepuluh Nopember (ITS),Menyanyi
32621,63,male,Kabupaten Pandeglang,Ilustrator,Universitas Diponegoro (UNDIP),Programming
86604,21,male,Kabupaten Jember,Penulis,Universitas Telkom,Olahraga
68193,14,male,Kota Probolinggo,Content writer,PT Pertamina,Mendengarkan musik
72286,52,female,Kabupaten Sumenep,Programmer,Universitas Padjadjaran (UNPAD),Bermain musik
23504,73,male,Kabupaten Sukabumi,Siswa,PT Bank Mandiri Tbk,Menyanyi
13833,21,male,Kabupaten Pasuruan,Ilustrator,Universitas Lampung (UNILA),Kolektor
30248,35,male,Kabupaten Sleman,Siswa,Institut Teknologi Bandung (ITB),Memasak
73625,16,male,Kabupaten Kediri,Blogger,Universitas Negeri Malang (UM),Merakit model
73320,23,female,Kabupaten Kebumen,Mahasiswa,Universitas Sumatera Utara (USU),Memasak
48435,14,male,Kabupaten Rembang,Content writer,PT Bank Mandiri Tbk,Melukis
94839,93,female,Kota Serang,Mahasiswa,Universitas Negeri Semarang (UNNES),Kolektor
91230,24,male,Kota Kediri,Ilustrator,Universitas Bina Nusantara (Binus),Menulis
48245,15,female,Kabupaten Kulonprogo,Content creator,PT Telkom Indonesia,Menganyam
30411,55,female,Kabupaten Klaten,Content writer,SMA A,Memasak
34532,22,male,Kabupaten Pamekasan,Content creator,Universitas Diponegoro (UNDIP),Menonton
74056,23,female,Kota Batu,Web developer,Universitas Negeri Semarang (UNNES),Memelihara hewan
65223,23,male,Kabupaten Bekasi,Content writer,Universitas Sumatera Utara (USU),Programming
82701,33,male,Kota Sukabumi,Mahasiswa,Universitas Sumatera Utara (USU),Membaca
39323,29,female,Kabupaten Kediri,Content creator,PT Garuda Indonesia,Makan
27406,33,female,Kabupaten Sleman,Infuencer,SMA B,Kolektor
17337,23,female,Kabupaten Ciamis,Blogger,Universitas Indonesia (UI),Olahraga
62421,63,male,Kabupaten Cilacap,Web developer,PT Garuda Indonesia,Berkebun
25792,22,male,Kabupaten Purworejo,Data analyst,Institut Teknologi Sepuluh Nopember (ITS),Melukis
30291,51,male,Kabupaten Situbondo,Siswa,PT Telkom Indonesia,Memasak
24098,22,male,Kabupaten Ngawi,Siswa,PT Bank Central Asia Tbk,Menulis
41853,57,male,Kabupaten Bondowoso,Web developer,Universitas Udayana (UNUD),Fotografi
25421,57,male,Kabupaten Lamongan,Ilustrator,Universitas Diponegoro (UNDIP),Berkebun
38317,55,female,Kabupaten Magelang,Web developer,PT Bank Mandiri Tbk,Memelihara hewan
728,27,female,Kota Batu,Ilustrator,Universitas Gunadarma,Menonton
66872,39,male,Kabupaten Bandung,Content creator,Universitas Negeri Malang (UM),Mendengarkan musik
13654,26,male,Kota Tangerang,Infuencer,PT Astra International,Olahraga
97715,22,female,Kota Tasikmalaya,Programmer,PT Bank Rakyat Indonesia Tbk,Menari
80493,16,male,Kabupaten Demak,Data analyst,PT Freeport,Membaca
36628,50,male,Kabupaten Boyolali,Mahasiswa,Universitas Negeri Jakarta (UNJ),Mendengarkan musik
13329,21,male,Kabupaten Brebes,Penerjemah,Universitas Negeri Yogyakarta (UNY),Menari
76225,23,male,Kabupaten Boyolali,Penulis,Universitas Gunadarma,Memasak
54476,51,female,Kabupaten Bandung,Ilustrator,Institut Teknologi Sepuluh Nopember (ITS),Melukis
97566,19,male,Kota Cilegon,Content creator,PT Gudang Garam Tbk,Programming
7485,25,male,Kota Salatiga,Programmer,Universitas Indonesia (UI),Bermain musik
23163,18,male,Kabupaten Blora,Ilustrator,Universitas Negeri Malang (UM),Berkebun
76548,103,female,Kota Serang,Web developer,PT Telkom Indonesia,Membaca
725,27,male,Kota Tangerang,Mahasiswa,Universitas Negeri Jakarta (UNJ),Menyanyi
24532,20,female,Kabupaten Sidoarjo,Infuencer,PT Bank Negara Indonesia Tbk,Menari
95728,87,male,Kabupaten Pandeglang,Penulis,Universitas Sumatera Utara (USU),Fotografi
52992,57,female,Kota Tangerang Selatan,Infuencer,Universitas Udayana (UNUD),Menganyam
45135,20,male,Kabupaten Pandeglang,Video editor,Universitas Negeri Semarang (UNNES),Programming
35638,52,male,Kabupaten Blora,Content creator,Universitas Indonesia (UI),Merakit model
97510,16,male,Kabupaten Madiun,Web developer,Universitas Hasanuddin (UNHAS),Menyanyi
83258,94,male,Kabupaten Gunungkidul,Desain grafis,Universitas Lampung (UNILA),Fotografi
97183,17,female,Kabupaten Tangerang,App developer,Universitas Airlangga (UNAIR),Memasak
47038,34,male,Kabupaten Batang,Mahasiswa,Universitas Sebelas Maret (UNS),Membaca
80125,18,male,Kabupaten Trenggalek,Desain grafis,Universitas Brawijaya (UB),Eksplor alam
45742,38,male,Kabupaten Tasikmalaya,Web developer,PT Bank Central Asia Tbk,Mendengarkan musik
14262,17,male,Kabupaten Sidoarjo,Mahasiswa,Universitas Lampung (UNILA),Berkebun
71222,28,female,Kabupaten Serang,App developer,PT Bank Central Asia Tbk,Fotografi
3136,17,female,Kota Batu,Mahasiswa,Universitas Dian Nuswantoro,Programming
17852,56,male,Kabupaten Tangerang,Data analyst,PT Bank Rakyat Indonesia Tbk,Membaca
92986,18,female,Kabupaten Lamongan,Siswa,Universitas Airlangga (UNAIR),Membaca
61294,52,male,Kabupaten Garut,Penerjemah,Universitas Lampung (UNILA),Makan
14182,18,female,Kabupaten Pamekasan,Blogger,Universitas Negeri Jakarta (UNJ),Bermain musik
53798,51,male,Kota Pasuruan,App developer,Universitas Brawijaya (UB),Menyanyi
34352,33,male,Kabupaten Bekasi,Content creator,Universitas Gadjah Mada (UGM),Programming
81596,20,male,Kabupaten Bandung,Ilustrator,Universitas Dian Nuswantoro,Bermain game
80381,25,male,Kota Salatiga,Mahasiswa,Universitas Negeri Malang (UM),Programming
30224,29,male,Kabupaten Wonosobo,Video editor,Institut Teknologi Sepuluh Nopember (ITS),Melukis
57070,31,female,Kabupaten Jember,App developer,Universitas Negeri Semarang (UNNES),Menyanyi
44972,23,female,Kabupaten Kulonprogo,Data analyst,Universitas Padjadjaran (UNPAD),Eksplor alam
92752,55,female,Kabupaten Magetan,Mahasiswa,PT Pertamina,Kolektor
58316,63,male,Kabupaten Blora,Content creator,Universitas Negeri Malang (UM),Melukis
78361,21,female,Kota Tasikmalaya,Desain grafis,PT Bank Mandiri Tbk,Memasak
14461,29,male,Kabupaten Sragen,App developer,Universitas Negeri Surabaya (UNESA),Memelihara hewan
55136,22,female,Kabupaten Mojokerto,Content creator,Universitas Hasanuddin (UNHAS),Menonton
17158,29,male,Kota Pasuruan,Blogger,Universitas Telkom,Olahraga
86861,108,female,Kabupaten Purbalingga,Infuencer,PT Semen Indonesia,Makan
67543,28,female,Kabupaten Trenggalek,Web developer,Universitas Dian Nuswantoro,Melukis
48363,39,male,Kabupaten Tuban,Ilustrator,Institut Teknologi Sepuluh Nopember (ITS),Membaca
67490,103,female,Kota Blitar,App developer,PT Semen Indonesia,Bermain musik
69090,32,male,Kabupaten Tegal,Data analyst,SMA C,Berkebun
70928,18,female,Kabupaten Bantul,Blogger,Universitas Bina Nusantara (Binus),Memelihara hewan
59846,20,female,Kabupaten Banyuwangi,App developer,Universitas Negeri Jakarta (UNJ),Bermain musik
60501,29,male,Kota Bogor,Infuencer,PT Gudang Garam Tbk,Eksplor alam
27392,70,female,Kabupaten Bekasi,Web developer,Universitas Sumatera Utara (USU),Kolektor
46514,90,male,Kota Tasikmalaya,App developer,Universitas Negeri Malang (UM),Makan
13543,24,female,Kabupaten Tasikmalaya,Programmer,Universitas Sebelas Maret (UNS),Olahraga
68348,21,male,Kota Cilegon,Desain grafis,Universitas Negeri Yogyakarta (UNY),Makan
90906,68,female,Kota Bandung,Siswa,Universitas Airlangga (UNAIR),Kolektor
47934,26,male,Kabupaten Boyolali,Video editor,Universitas Telkom,Bermain musik
19516,28,male,Kabupaten Sragen,Content writer,PT Garuda Indonesia,Berkebun
92145,21,male,Kabupaten Banyuwangi,Video editor,Universitas Bina Nusantara (Binus),Menganyam
18284,40,female,Kabupaten Cirebon,Mahasiswa,Universitas Padjadjaran (UNPAD),Menari
89850,18,male,Kota Probolinggo,Data analyst,PT PLN,Memasak
98561,19,male,Kota Banjar,Data analyst,PT Astra International,Membaca
30015,31,female,Kabupaten Subang,Content creator,PT Telkom Indonesia,Membaca
75538,40,male,Kabupaten Bandung,Penulis,Universitas Dian Nuswantoro,Memasak
85048,72,female,Kota Sukabumi,Penerjemah,SMA C,Olahraga
89711,21,female,Kabupaten Garut,App developer,PT Garuda Indonesia,Memelihara hewan
64644,18,female,Kota Madiun,Penerjemah,Universitas Sumatera Utara (USU),Kolektor
42357,28,female,Kabupaten Karanganyar,Ilustrator,Universitas Lampung (UNILA),Menganyam
35554,25,female,Kota Surabaya,Blogger,Universitas Dian Nuswantoro,Programming
41482,17,male,Kabupaten Mojokerto,Infuencer,PT Freeport,Bermain game
16561,41,female,Kabupaten Wonogiri,Content creator,Universitas Sumatera Utara (USU),Membaca
48839,21,male,Kota Depok,Penerjemah,SMA C,Menyanyi
95758,13,female,Kabupaten Purwakarta,Web developer,Universitas Negeri Surabaya (UNESA),Olahraga
65634,17,male,Kabupaten Magetan,Infuencer,Universitas Sebelas Maret (UNS),Menyanyi
25724,32,male,Kabupaten Kebumen,Ilustrator,PT Bank Central Asia Tbk,Membaca
20094,49,female,Kabupaten Blora,Penerjemah,PT Gudang Garam Tbk,Melukis
26134,78,female,Kabupaten Bogor,Data analyst,PT Garuda Indonesia,Membaca
85759,19,male,Kabupaten Sragen,Web developer,Universitas Andalas (UNAND),Merakit model
1562,54,female,Kabupaten Boyolali,Blogger,Universitas Diponegoro (UNDIP),Bermain game
32209,55,female,Kota Banjar,Mahasiswa,Universitas Indonesia (UI),Bermain musik
34394,21,female,Kota Surabaya,Data analyst,PT Gudang Garam Tbk,Menonton
8424,32,male,Kabupaten Pekalongan,Content creator,PT PLN,Melukis
70313,25,male,Kota Probolinggo,Data analyst,SMA A,Bermain game
86361,39,female,Kabupaten Kendal,Infuencer,Universitas Gadjah Mada (UGM),Kolektor
95022,19,male,Kabupaten Bandung,Blogger,Universitas Andalas (UNAND),Menganyam
18097,18,male,Kabupaten Kebumen,Content creator,Universitas Lampung (UNILA),Menulis
32347,16,male,Kabupaten Indramayu,Desain grafis,PT PLN,Fotografi
49147,55,female,Kabupaten Jombang,Penulis,Universitas Diponegoro (UNDIP),Kolektor
32736,58,male,Kota Cirebon,Content creator,PT Freeport,Menulis
34190,26,male,Kabupaten Klaten,Penerjemah,PT Semen Indonesia,Memasak
53040,65,male,Kota Serang,Desain grafis,Institut Teknologi Bandung (ITB),Bermain musik
74515,19,female,Kabupaten Kebumen,Infuencer,Universitas Indonesia (UI),Berkebun
4522,19,male,Kabupaten Cirebon,Penerjemah,Universitas Dian Nuswantoro,Mendengarkan musik
93615,108,male,Kabupaten Purworejo,App developer,PT Bank Rakyat Indonesia Tbk,Menulis
17824,41,female,Kota Bekasi,Video editor,PT Bank Rakyat Indonesia Tbk,Eksplor alam
67256,17,male,Kabupaten Kendal,Infuencer,Universitas Bina Nusantara (Binus),Menari
40518,27,female,Kabupaten Sukoharjo,App developer,Institut Teknologi Sepuluh Nopember (ITS),Menyanyi
16222,41,male,Kabupaten Kendal,Penerjemah,Universitas Negeri Malang (UM),Kolektor
49304,18,male,Kabupaten Bandung Barat,Web developer,Universitas Bina Nusantara (Binus),Eksplor alam
86810,108,female,Kabupaten Demak,Penulis,Institut Teknologi Sepuluh Nopember (ITS),Menyanyi
10402,42,male,Kota Cilegon,Web developer,Universitas Diponegoro (UNDIP),Mendengarkan musik
44975,38,female,Kota Surabaya,Video editor,Universitas Hasanuddin (UNHAS),Memelihara hewan
57163,15,male,Kota Magelang,Video editor,Institut Teknologi Sepuluh Nopember (ITS),Melukis
96831,20,female,Kabupaten Boyolali,Blogger,Universitas Negeri Malang (UM),Bermain game
29807,49,female,Kabupaten Purwakarta,Infuencer,Universitas Negeri Surabaya (UNESA),Menyanyi
37167,66,female,Kabupaten Klaten,Video editor,Universitas Andalas (UNAND),Menganyam
95984,40,female,Kota Cimahi,Blogger,Universitas Negeri Surabaya (UNESA),Memelihara hewan
27699,15,female,Kabupaten Wonosobo,Content creator,PT Freeport,Makan
78318,15,female,Kabupaten Cilacap,Siswa,Universitas Negeri Yogyakarta (UNY),Menganyam
36292,41,female,Kota Surabaya,App developer,PT Unilever Indonesia,Menari
7159,29,male,Kota Bekasi,Infuencer,Universitas Negeri Surabaya (UNESA),Merakit model
56364,20,male,Kota Cirebon,Penulis,SMA B,Membaca
93823,18,female,Kabupaten Ciamis,Penulis,Universitas Gadjah Mada (UGM),Olahraga
58692,38,male,Kabupaten Serang,Programmer,SMA C,Menyanyi
51000,53,male,Kabupaten Karawang,Siswa,Universitas Telkom,Memasak
1054,32,male,Kabupaten Magetan,Video editor,Universitas Andalas (UNAND),Berkebun
26792,108,male,Kota Depok,Penulis,Universitas Sebelas Maret (UNS),Menonton
67561,23,male,Kabupaten Jombang,Data analyst,PT Pertamina,Berkebun
38553,26,male,Kabupaten Temanggung,Penerjemah,Universitas Telkom,Olahraga
81263,17,female,Kabupaten Sragen,Data analyst,Institut Teknologi Bandung (ITB),Kolektor
83254,24,female,Kabupaten Tegal,Penulis,Universitas Sebelas Maret (UNS),Bermain game
69943,47,female,Kabupaten Jember,Video editor,SMA B,Memelihara hewan
74874,25,male,Kabupaten Jepara,Programmer,PT Semen Indonesia,Programming
16594,46,female,Kabupaten Lumajang,Video editor,Universitas Sumatera Utara (USU),Fotografi
82544,15,female,Kota Semarang,Blogger,PT Bank Mandiri Tbk,Menyanyi
43968,58,female,Kabupaten Pamekasan,Programmer,PT Telkom Indonesia,Menyanyi
52884,56,male,Kabupaten Kediri,Desain grafis,Institut Teknologi Bandung (ITB),Merakit model
13465,100,female,Kabupaten Demak,Programmer,PT Telkom Indonesia,Melukis
87074,31,female,Kabupaten Bantul,Content creator,PT Freeport,Menyanyi
66624,56,female,Kota Madiun,App developer,PT Bank Negara Indonesia Tbk,Berkebun
52582,22,male,Kabupaten Indramayu,Content creator,PT Bank Central Asia Tbk,Olahraga
45688,60,female,Kabupaten Banyumas,Content writer,PT Telkom Indonesia,Makan
60724,23,female,Kota Blitar,Desain grafis,Universitas Padjadjaran (UNPAD),Menari
57239,27,female,Kabupaten Sidoarjo,Video editor,SMA B,Bermain game
11528,17,male,Kabupaten Gunungkidul,Programmer,Universitas Negeri Surabaya (UNESA),Berkebun
41919,20,male,Kota Pasuruan,Siswa,Universitas Telkom,Melukis
1505,52,male,Kota Surabaya,App developer,PT Gudang Garam Tbk,Eksplor alam
40985,59,female,Kabupaten Sidoarjo,Penulis,Universitas Andalas (UNAND),Merakit model
27777,34,male,Kabupaten Ponorogo,Programmer,Institut Teknologi Sepuluh Nopember (ITS),Menulis
56283,18,female,Kabupaten Sragen,Ilustrator,Universitas Dian Nuswantoro,Memelihara hewan
58017,66,female,Kota Bogor,Blogger,Universitas Negeri Surabaya (UNESA),Melukis
25298,28,male,Kabupaten Kudus,Mahasiswa,Universitas Andalas (UNAND),Fotografi
86275,74,male,Kabupaten Kebumen,Blogger,Universitas Indonesia (UI),Bermain musik
95853,17,female,Kota Pekalongan,Content writer,Universitas Sumatera Utara (USU),Eksplor alam
81819,15,male,Kabupaten Sampang,Content creator,Universitas Hasanuddin (UNHAS),Fotografi
13948,22,female,Kabupaten Banyumas,Video editor,PT Bank Central Asia Tbk,Berkebun
58504,30,male,Kota Semarang,Data analyst,PT Unilever Indonesia,Menulis
5973,29,female,Kabupaten Blora,Desain grafis,PT Freeport,Bermain musik
15389,55,female,Kabupaten Pekalongan,Content writer,Institut Teknologi Sepuluh Nopember (ITS),Menari
97088,24,male,Kabupaten Sukabumi,Mahasiswa,SMA C,Melukis
77343,23,male,Kabupaten Pandeglang,Mahasiswa,PT Bank Negara Indonesia Tbk,Bermain game
643,25,male,Kota Tegal,Infuencer,Universitas Sebelas Maret (UNS),Mendengarkan musik
91257,68,female,Kabupaten Lumajang,Video editor,Universitas Indonesia (UI),Programming
49703,48,male,Kota Surabaya,Data analyst,Universitas Sebelas Maret (UNS),Bermain game
60015,51,male,Kabupaten Semarang,Content creator,Universitas Telkom,Menulis
76268,20,male,Kota Malang,Siswa,Universitas Gadjah Mada (UGM),Mendengarkan musik
39731,24,male,Kabupaten Kendal,Siswa,PT Bank Negara Indonesia Tbk,Merakit model
47498,19,male,Kabupaten Banjarnegara,Infuencer,Universitas Sumatera Utara (USU),Programming
38667,26,female,Kota Blitar,Penulis,PT Semen Indonesia,Olahraga
64416,25,male,Kabupaten Sidoarjo,Infuencer,PT Unilever Indonesia,Programming
12152,34,female,Kabupaten Tegal,Desain grafis,Universitas Lampung (UNILA),Merakit model
41285,55,male,Kabupaten Malang,Video editor,PT Pertamina,Melukis
86221,20,male,Kabupaten Blora,Programmer,Universitas Telkom,Menulis
10406,21,female,Kabupaten Rembang,Video editor,Institut Teknologi Bandung (ITB),Eksplor alam
85379,14,female,Kabupaten Serang,Content creator,Institut Teknologi Bandung (ITB),Membaca
44276,21,male,Kota Bandung,Desain grafis,Universitas Negeri Yogyakarta (UNY),Mendengarkan musik
57695,33,male,Kabupaten Bangkalan,Content writer,SMA C,Merakit model
11952,18,female,Kabupaten Purwakarta,Data analyst,SMA B,Berkebun
17573,18,male,Kabupaten Temanggung,Ilustrator,Institut Pertanian Bogor (IPB),Menulis
7517,25,male,Kabupaten Jepara,Ilustrator,Institut Pertanian Bogor (IPB),Berkebun
17217,23,female,Kota Tasikmalaya,Content creator,Universitas Sumatera Utara (USU),Menganyam
68376,33,female,Kabupaten Banjarnegara,Blogger,Universitas Airlangga (UNAIR),Menganyam
83025,17,female,Kabupaten Gresik,Data analyst,Universitas Negeri Malang (UM),Membaca
61361,28,male,Kabupaten Trenggalek,Mahasiswa,PT PLN,Menganyam
12465,33,male,Kota Probolinggo,Programmer,Universitas Negeri Semarang (UNNES),Berkebun
